ts,role,ip,peer_ip,dl_mcs,ul_mcs,dl_snr_db,ul_snr_db,dl_rssi_dbm,ul_rssi_dbm,dl_rate,note
2026-05-09T03:23:16-05:00,AP,192.168.1.2,192.168.1.3,104,105,20,19,-76,-79,103M,ok
2026-05-09T03:24:16-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-79,137M,ok
2026-05-09T03:25:16-05:00,AP,192.168.1.2,192.168.1.3,104,106,20,20,-76,-80,103M,ok
2026-05-09T03:26:17-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,19,-76,-79,137M,ok
2026-05-09T03:27:17-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:28:17-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,21,-76,-79,137M,ok
2026-05-09T03:29:17-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-78,137M,ok
2026-05-09T03:30:18-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:31:18-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:32:18-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:33:19-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,19,-76,-81,137M,ok
2026-05-09T03:34:19-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,21,-76,-79,137M,ok
2026-05-09T03:35:19-05:00,AP,192.168.1.2,192.168.1.3,106,104,20,20,-76,-78,154M,ok
2026-05-09T03:36:19-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,21,-76,-79,137M,ok
2026-05-09T03:37:20-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,21,-76,-79,137M,ok
2026-05-09T03:38:20-05:00,AP,192.168.1.2,192.168.1.3,106,104,20,20,-76,-80,154M,ok
2026-05-09T03:39:20-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-81,137M,ok
2026-05-09T03:40:21-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,21,-76,-79,137M,ok
2026-05-09T03:41:21-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-78,137M,ok
2026-05-09T03:42:21-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:43:21-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:44:22-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,21,-76,-77,137M,ok
2026-05-09T03:45:22-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:46:22-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,21,-76,-79,137M,ok
2026-05-09T03:47:23-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:48:23-05:00,AP,192.168.1.2,192.168.1.3,104,104,20,19,-76,-81,103M,ok
2026-05-09T03:49:23-05:00,AP,192.168.1.2,192.168.1.3,106,104,20,20,-76,-80,154M,ok
2026-05-09T03:50:23-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:51:24-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,19,-76,-81,137M,ok
2026-05-09T03:52:24-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T03:53:24-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,21,-76,-79,137M,ok
2026-05-09T03:54:25-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T03:55:25-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T03:56:25-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:57:25-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T03:58:26-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T03:59:26-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-79,137M,ok
2026-05-09T04:00:26-05:00,AP,192.168.1.2,192.168.1.3,104,104,20,19,-76,-81,103M,ok
2026-05-09T04:01:27-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T04:02:27-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T04:03:27-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
