ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-21T01:21:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,22,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T01:22:01-05:00,AP,192.168.1.2,0,137,2,2,104,105,19,21,	-81,	-83,	-89,	-93,103M,,-77,-77,,,,,
2026-02-21T01:22:01-05:00,SM,192.168.1.3,2,2,,,104,105,19,21,	-81,	-83,	-89,	-93,103M,,-77,-77,,,,,
2026-02-21T01:23:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-80,	-82,	-90,	-92,137M,,-77,-77,,,,,
2026-02-21T01:23:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-80,	-82,	-90,	-92,137M,,-77,-77,,,,,
2026-02-21T01:24:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-82,	-90,	-92,137M,,-77,-76,,,,,
2026-02-21T01:24:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-82,	-90,	-92,137M,,-77,-76,,,,,
2026-02-21T01:25:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-78,	-80,	-88,	-91,137M,,-77,-76,,,,,
2026-02-21T01:25:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-78,	-80,	-88,	-91,137M,,-77,-76,,,,,
2026-02-21T01:26:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-90,	-94,137M,,-77,-77,,,,,
2026-02-21T01:26:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-90,	-94,137M,,-77,-77,,,,,
2026-02-21T01:27:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-78,	-81,	-88,	-91,137M,,-77,-76,,,,,
2026-02-21T01:27:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-78,	-81,	-88,	-91,137M,,-77,-76,,,,,
2026-02-21T01:28:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-80,	-83,	-90,	-92,137M,,-77,-76,,,,,
2026-02-21T01:28:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-80,	-83,	-90,	-92,137M,,-77,-76,,,,,
2026-02-21T01:29:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
